정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
AT센터.양재꽃시장,22298,440,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,440,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),청소년,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,440,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),경로,0,0,0,0,1,0,1,0,0,0,3,0,1,0,1,0,1,0,0,0,1,0,2,1,2,0,2,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,440,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),장애인,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,440,복정역환승센터4번승강장 - 복정역환승센터2번승강장,2024-11-04(월),국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,441,월암차고지 - 월암차고지(종점가상),2024-11-04(월),일반인,0,0,0,0,28,8,69,8,65,10,37,12,28,10,11,2,31,7,17,7,28,4,45,8,35,3,58,7,47,8,65,11,27,7,51,9,20,4,27,6,8,3,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,441,월암차고지 - 월암차고지(종점가상),2024-11-04(월),청소년,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,441,월암차고지 - 월암차고지(종점가상),2024-11-04(월),경로,0,0,0,0,0,1,0,0,1,0,3,0,3,1,2,0,2,0,3,0,3,0,10,0,4,0,9,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,441,월암차고지 - 월암차고지(종점가상),2024-11-04(월),장애인,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AT센터.양재꽃시장,22298,441,월암차고지 - 월암차고지(종점가상),2024-11-04(월),국가유공자,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
